epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.785,1.4261,2.75988,1.42794,0.5188,0.5012,0.52502,0.31558,1.30657,2.1918,1.35346,0.000235983,0.000235983,0.000235983
2,2817.18,1.32961,1.70026,1.31475,0.70288,0.65385,0.68631,0.41972,1.27777,1.5338,1.31969,0.000458342,0.000458342,0.000458342
3,3022.58,1.30824,1.5469,1.29878,0.649,0.66068,0.66898,0.42117,1.27588,1.53069,1.32162,0.000664992,0.000664992,0.000664992
4,3229.68,1.30407,1.49867,1.30356,0.69924,0.65555,0.68727,0.437,1.25477,1.41001,1.30308,0.000643314,0.000643314,0.000643314
5,3433.19,1.27254,1.36973,1.2691,0.69903,0.68392,0.71577,0.46054,1.23219,1.31546,1.2759,0.000619752,0.000619752,0.000619752
6,3650.82,1.24175,1.31214,1.26428,0.75883,0.67379,0.71606,0.46286,1.21396,1.25356,1.27452,0.00059619,0.00059619,0.00059619
7,3855.53,1.23611,1.23703,1.25119,0.71978,0.6727,0.7257,0.47501,1.21151,1.20389,1.26827,0.000572628,0.000572628,0.000572628
8,4064.12,1.22947,1.22371,1.25302,0.76541,0.70992,0.74649,0.49085,1.19874,1.13637,1.25456,0.000549066,0.000549066,0.000549066
9,4267.05,1.20011,1.17777,1.24509,0.74256,0.71106,0.74734,0.49616,1.17269,1.0835,1.24829,0.000525504,0.000525504,0.000525504
10,4471.07,1.17933,1.13837,1.22715,0.77261,0.7006,0.74522,0.49518,1.17944,1.11302,1.24979,0.000501942,0.000501942,0.000501942
11,4674.61,1.16457,1.11475,1.22861,0.68067,0.74398,0.75003,0.49919,1.17981,1.05541,1.24511,0.00047838,0.00047838,0.00047838
12,4878.17,1.16839,1.07763,1.21762,0.72125,0.73298,0.75802,0.50755,1.16164,1.05282,1.23752,0.000454818,0.000454818,0.000454818
13,5081.64,1.1516,1.06389,1.21786,0.71636,0.74458,0.75705,0.50299,1.15993,1.01943,1.24242,0.000431256,0.000431256,0.000431256
14,5285.73,1.14611,1.02925,1.21093,0.70765,0.75128,0.75484,0.50596,1.1798,1.02509,1.24396,0.000407694,0.000407694,0.000407694
15,5489.24,1.12002,0.99028,1.19445,0.70829,0.74758,0.75921,0.5109,1.14937,1.01263,1.22661,0.000384132,0.000384132,0.000384132
16,5692.79,1.12188,0.99283,1.19696,0.71236,0.77339,0.77711,0.52324,1.16268,0.98442,1.23546,0.00036057,0.00036057,0.00036057
17,5896.86,1.12003,0.95881,1.19812,0.72811,0.73191,0.77272,0.52443,1.12747,0.95303,1.22609,0.000337008,0.000337008,0.000337008
18,6101.23,1.11014,0.9432,1.18778,0.70472,0.76753,0.76904,0.52277,1.12892,0.96084,1.22609,0.000313446,0.000313446,0.000313446
19,6308.49,1.09243,0.94327,1.18038,0.71105,0.77575,0.77886,0.53189,1.12543,0.93449,1.2129,0.000289884,0.000289884,0.000289884
20,6558.93,1.08012,0.90832,1.16806,0.72364,0.76257,0.7724,0.52478,1.1392,0.95215,1.22508,0.000266322,0.000266322,0.000266322
21,6797.45,1.03388,0.8487,1.16919,0.73187,0.7577,0.77239,0.5265,1.13445,0.93275,1.2211,0.00024276,0.00024276,0.00024276
22,7030.07,1.01104,0.79391,1.15692,0.69948,0.76511,0.76514,0.52695,1.11265,0.93155,1.21886,0.000219198,0.000219198,0.000219198
23,7261.56,0.99905,0.7808,1.1502,0.71341,0.78364,0.77635,0.53173,1.1254,0.90943,1.22228,0.000195636,0.000195636,0.000195636
24,7462.27,0.99186,0.75669,1.14061,0.71491,0.79089,0.77847,0.53061,1.12221,0.90903,1.21572,0.000172074,0.000172074,0.000172074
25,7662.82,0.97747,0.73119,1.13277,0.70993,0.78754,0.78437,0.53406,1.12134,0.90318,1.22192,0.000148512,0.000148512,0.000148512
26,7862.36,0.96615,0.71704,1.12613,0.74321,0.77898,0.78704,0.53657,1.12804,0.89934,1.22104,0.00012495,0.00012495,0.00012495
27,8062.89,0.95946,0.69963,1.12111,0.7143,0.78218,0.78194,0.53777,1.11458,0.8994,1.21411,0.000101388,0.000101388,0.000101388
28,8294.62,0.95041,0.68709,1.11626,0.73879,0.778,0.7821,0.5408,1.10809,0.90103,1.21569,7.7826e-05,7.7826e-05,7.7826e-05
29,8525.64,0.93938,0.67654,1.11074,0.73191,0.76511,0.78305,0.53994,1.11962,0.8974,1.21594,5.4264e-05,5.4264e-05,5.4264e-05
30,8741.06,0.93181,0.66686,1.10426,0.72587,0.78038,0.78264,0.54273,1.1102,0.89004,1.21292,3.0702e-05,3.0702e-05,3.0702e-05
